timestamp_s,frame_id,contour_area_cm2,velocity_cm_s,flow_ml_s,flow_smooth,accumulated_volume_ml
0.0,0,0.0,0.0,0.0,0.1303019743351358,0.0
0.016674779786740843,1,0.0,0.0,0.0,0.12487272540450513,0.002082225197490282
0.03334955957348169,2,0.0,0.0,0.0,0.16083678495942763,0.004764143168296129
0.05002433936022253,3,0.0,0.0,0.0,0.25178509209417016,0.008962604132550681
0.06669911914696337,4,0.0,0.0,0.0,0.49081215604147843,0.017146788751197815
0.08337389893370423,5,0.0,0.0,0.0,0.9487652178329825,0.032967239827882015
0.10004867872044507,6,0.0,0.0,0.0,1.3918010816746589,0.056175216371754655
0.1167234585071859,7,0.0,0.0,0.0,1.7819424083877722,0.08588871362427537
0.13339823829392675,8,0.0,0.0,0.0,2.012552528246592,0.11944758384203583
0.1500730180806676,9,0.0,0.0,0.0,2.3870117750230815,0.1592504795389031
0.16674779786740845,10,0.0,0.0,0.0,2.7003415863325655,0.20427808083997712
0.1834225776541493,11,0.0,0.0,0.0,2.7035652299919493,0.24935943568918223
0.20009735744089013,12,0.0,0.0,0.0,2.684981807744339,0.2941309160647244
0.21677213722763097,13,0.0,0.0,0.0,2.6405424718123136,0.3381613802997311
0.2334469170143718,14,0.0,0.0,0.0,2.6013689264069852,0.381538634291638
0.2501216968011127,15,0.0,0.0,0.0,2.5514068754582873,0.4240827820862815
0.2667964765878535,16,0.0,0.0,0.0,2.4993192589099382,0.46575838034536493
0.28347125637459436,17,0.0,0.0,0.0,2.4570916967339382,0.5067298433042329
0.3001460361613352,18,1.487632594051437,2.520602425634154,1.500403494692456,2.4143505977149533,0.5469886078491157
0.31682081594807604,19,0.9174343516140312,1.937816578501837,0.7113702463616135,2.3568660596741213,0.5862888303810254
0.3334955957348169,20,1.0161225089589667,1.9311255803523635,0.7851716686540537,2.302055221077049,0.6246750942494023
0.3501703755215577,21,0.0,0.0,0.0,2.263580174392449,0.6624197951870288
0.3668451553082986,22,0.0,0.0,0.0,2.223598410192191,0.6994978090111307
0.3835199350950394,23,0.0,0.0,0.0,2.2335585102384097,0.736741905310157
0.40019471488178027,24,0.8626075975335113,2.966659545565263,1.0239742142775676,2.2545107068692367,0.774335374874051
0.4168694946685211,25,2.766923522596899,2.281082234626979,2.5254927704627335,2.267568441460346,0.8121465792867654
0.43354427445526195,26,7.514920425969913,2.2299738644839198,6.7055158186714925,2.2893914183253923,0.8503216770329957
0.4502190542420028,27,12.343329901994355,2.6955773909215712,13.313497886203592,2.3113613281525667,0.8888631181875286
0.4668938340287436,28,14.024683693796963,2.458540842926395,13.796805269241595,2.3379830885501187,0.927848471334226
0.4835686138154845,29,14.773982666230733,2.215309475263254,13.096040883068065,2.358614187042511,0.9671778435050427
0.5002433936022254,30,12.789254168515916,1.7451784538917747,8.930856124011191,2.3855539821080542,1.0069564308260772
0.5169181733889662,31,15.172390412549177,2.3052528656573688,13.995248425094239,2.4349328101204977,1.0475583992303465
0.533592953175707,32,15.899758683350738,2.0004325608187465,12.726895548236058,2.5321656234740564,1.0897817033853316
0.5502677329624478,33,4.981924387449898,1.4095897348020607,2.8099454707516194,2.6208260280348474,1.1334834002621714
0.5669425127491887,34,3.3773280513600192,1.5192821595642756,2.053145451325594,2.801889438744129,1.1802042896400249
0.5836172925359295,35,2.141898526078973,1.2661616048266549,1.085165714191424,2.9192686355886264,1.2288824512768046
0.6002920723226703,36,2.313689022197935,1.2865982903086417,1.1911212918151532,3.0010633642232025,1.2789245220012821
0.6169668521094113,37,1.0380532105911746,1.6920410545286748,0.7028109903564744,3.1334033211201113,1.3311733323640027
0.6336416318961521,38,0.7712296740659784,1.685012343276604,0.5199898300726628,3.239658740214471,1.385193928441269
0.6503164116828929,39,0.8772280652883166,2.3082384939825045,0.8102167718699483,3.35765215480725,1.4411820387231558
0.6669911914696338,40,1.0709492630394866,1.644490744060223,0.7047066369555619,3.428180509358182,1.4983461937859008
0.6836659712563746,41,0.0,0.0,0.0,3.4641861751883236,1.5561107353974382
0.7003407510431154,42,0.0,0.0,0.0,3.4906540343886685,1.6143166227325676
0.7170155308298563,43,0.8297115450851995,1.8348110259824122,0.6091531669546696,3.5173896629615733,1.6729683207866104
0.7336903106165972,44,0.8187461942690956,1.4175409682262499,0.46440078538081075,3.5477664978746013,1.7321265458734465
0.750365090403338,45,0.9320548193688364,1.201784853629799,0.44820450207987,3.5837291663169246,1.7918844405371015
0.7670398701900788,46,1.0563287952846814,2.230667933674869,0.9428488483872098,3.6345758606441856,1.8524901926315473
0.7837146499768197,47,1.0161225089589667,1.4451943229314366,0.5875980565999199,3.660203919736402,1.913523286967718
0.8003894297635605,48,1.282946045484163,1.9129784674569013,0.9820339589270672,3.6448804456904105,1.9743008657486032
0.8170642095503013,49,1.981073380776115,1.2471887757547737,0.9886459422228642,3.5357566744381916,2.033258829674359
0.8337389893370422,50,1.487632594051437,2.012544847538742,1.197979217889835,3.277123929500111,2.087904149532632
0.8504137691237831,51,1.4108751383387093,1.6445165691798336,0.9283994321576442,3.0180225905855753,2.1382290116220557
0.8670885489105239,52,1.6923191426187107,1.7902616249749608,1.2122907779494596,2.7676266237843725,2.184378576105581
0.8837633286972647,53,3.318846180340798,1.6732396033955101,2.2220472605599455,2.616682220427017,2.228011175903082
0.9004381084840056,54,5.636190319477435,1.9401338099442753,4.3754766009101385,2.352297220106373,2.2672352140413183
0.9171128882707464,55,6.451281396807828,1.5455683110436973,3.989718205235595,2.1203162602124177,2.3025910207586064
